Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5170","R?sidus","2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5170","R?sidus","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5142","Nourriture","2734","Viande de Volailles","2015","2015","Milliers de tonnes","2037","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5142","Nourriture","2734","Viande de Volailles","2016","2016","Milliers de tonnes","2066","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2110","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5142","Nourriture","2734","Viande de Volailles","2018","2018","Milliers de tonnes","2156","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5142","Nourriture","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2186","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2015","2015","kg","36.78","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2016","2016","kg","36.77","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","37.01","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2018","2018","kg","37.31","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2019","2019","kg","37.32","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2015","2015","Kcal/personne/jour","148","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2016","2016","Kcal/personne/jour","148","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","149","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2018","2018","Kcal/personne/jour","150","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2019","2019","Kcal/personne/jour","150","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2015","2015","g/personne/jour","14.53","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2016","2016","g/personne/jour","14.53","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","14.63","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2018","2018","g/personne/jour","14.75","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2019","2019","g/personne/jour","14.75","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2015","2015","g/personne/jour","9.55","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2016","2016","g/personne/jour","9.52","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","9.59","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2018","2018","g/personne/jour","9.67","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2019","2019","g/personne/jour","9.68","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2015","2015","Milliers de tonnes","13","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2016","2016","Milliers de tonnes","13","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","13","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","16","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","12","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantit?","2734","Viande de Volailles","2015","2015","Milliers de tonnes","21","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantit?","2734","Viande de Volailles","2016","2016","Milliers de tonnes","26","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","20","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantit?","2734","Viande de Volailles","2018","2018","Milliers de tonnes","12","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","22","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5072","Variation de stock","2734","Viande de Volailles","2015","2015","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5072","Variation de stock","2734","Viande de Volailles","2016","2016","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5072","Variation de stock","2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5072","Variation de stock","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5911","Exportations - Quantit?","2734","Viande de Volailles","2016","2016","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5911","Exportations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5911","Exportations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
